"STATION","NAME","DATE","AWND","TMAX","TMIN"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-19","13.42","89","61"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-20","15.21","85","61"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-21","13.20","82","55"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-22","10.07","76","56"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-23","7.83","79","57"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-24","10.29","80","63"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-25","8.05","83","62"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-26","7.61","89","61"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-27","6.26","90","62"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-28","6.71","92","61"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-29","8.05","89","63"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-30","7.83","91","60"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-31","12.08","88","67"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-01","12.53","91","61"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-02","8.72","86","59"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-03","16.11","92","61"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-04","9.62","77","60"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-05","5.37","84","62"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-06","7.16","87","60"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-07","13.20","66","55"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-08","8.05","70","54"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-09","13.20","67","57"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-10","5.59","79","54"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-11","14.32","86","60"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-12","12.97","75","54"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-13","14.32","80","49"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-14","18.57","93","62"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-15","10.51","80","59"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-16","16.55","89","66"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-17","14.09","95","72"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-18","14.76","96","75"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-19","9.40","84","62"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-20","11.63","93","63"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-21","9.17","85","64"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-22","8.28","83","67"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-23","6.04","81","66"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-24","5.37","81","63"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-25","7.38","85","63"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-26","11.41","85","68"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-27","14.32","82","63"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-28","12.97","85","63"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-29","8.95","89","68"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-06-30","12.53","82","64"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-01","13.87","81","58"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-02","9.62","75","52"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-03","10.51","82","55"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-04","17.22","86","63"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-05","8.50","90","68"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-06","6.71","97","67"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-07","8.50","89","66"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-08","10.74","84","60"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-09","10.74","82","56"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-10","13.42","84","64"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-11","8.50","87","69"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-12","8.05","84","68"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-13","5.82","90","64"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-14","11.18","76","55"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-15","6.49","74","50"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-16","4.47","74","57"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-17","4.92","77","53"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-18","11.86","78","58"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-19","11.18","82","61"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-20","12.30","92","66"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-07-21","11.86","100","75"
